"Id","POINT_X","POINT_Y","width_m","date","why","slp_dg_sav","ele_mt_sav","dis_m3_pyr","dis_m3_pmn","dis_m3_pmx","RASTERVALU"
1,-98.46430351,38.79467143,27.4,"6/28/2019"," ",12,536,9.828,2.492,60.646,18790.822265625
3,-92.49790709,38.88500692,24.73,"3/30/2015"," ",21,215,5.894,2.393,13.229,616.379821777344
4,-96.04383731,39.30545653,4.13,"4/13/2019"," ",16,347,1.88,0.866,3.906,184.762191772461
6,-93.4393526,39.71710254,43.12,"9/9/2012"," ",13,232,107.082,35.326,293.743,14424.08984375
7,-94.70338758,39.95480863,46.8,"5/15/2019"," ",16,293,13.738,4.118,37.373,1711.5556640625
8,-95.93461253,40.09997776,42.36,"4/1/2016"," ",18,337,9.788,4.092,24.192,1520.58764648438
9,-96.06594407,40.17528798,26.53,"4/1/2016"," ",17,339,7.543,2.907,21.119,1146.57653808594
11,-98.71158394,40.71693409,113.66,"9/4/2020","braided",1,619,113.058,36.315,304.024,152787.328125
12,-100.1084017,40.89617296,18.38,"4/19/2017"," ",9,835,0.2,0.09,0.425,148260.96875
13,-102.4194507,41.04787644,2.2,"9/4/2020"," ",9,1138,6.566,1.039,26.526,8524.59765625
14,-97.22346991,41.0930993,9.21,"9/2/2020"," ",5,481,4.437,1.85,11.892,990.992065429688
16,-104.1558361,41.87806134,9.98,"7/11/2016"," ",10,1294,4.68,0.525,25.818,3818.21484375
18,-96.35779449,42.2071554,216.09,"5/4/2016"," ",14,342,1088.675,432.129,2441.516,804338.4375
19,-108.4449035,42.43256854,21.84,"6/8/2017"," ",39,2228,8.979,0.293,49.08,1284.15698242188
20,-108.3339467,42.85994248,5.77,"6/24/2017"," ",20,1620,3.408,0.688,13.266,891.484558105469
22,-99.378148,42.93932995,32.95,"4/11/2016"," ",16,637,7.276,3.032,17.735,4002.16479492188
23,-107.9389653,42.98143622,1.68,"6/24/2017"," ",13,1656,1.246,0.206,5.74,329.733337402344
24,-104.2782491,43.20487424,3.93,"6/29/2014"," ",19,1231,1.422,0.225,5.951,842.085693359375
27,-104.5473938,43.50761024,10.21,"6/29/2014"," ",22,1247,8.434,0.904,52.259,7075.47705078125
28,-96.65034266,43.60138005,31.51,"5/3/2021"," ",15,444,16.594,12.483,22.912,11647.69140625
29,-99.64127994,43.7356114,59.51,"10/5/2021"," ",20,522,25.354,8.102,86.515,25647.232421875
31,-103.3470382,43.97926262,5.88,"5/4/2017"," ",53,1183,0.915,0.16,4.175,420.644714355469
32,-107.4540038,44.01992508,14.6,"7/1/2014"," ",47,1463,4.31,0.487,19.183,2094.9921875
33,-101.9374983,43.97566364,1.97,"6/15/2016"," ",19,772,0.98,0.194,4.425,441.491394042969
34,-103.0247758,43.99688644,17.51,"5/4/2017"," ",20,965,2.635,0.388,11.571,1306.39038085938
35,-96.42684017,44.10434778,6.36,"8/14/2015"," ",9,500,1.343,1.003,1.867,214.475662231445
37,-104.6911261,44.5940621,9.11,"4/18/2014"," ",61,1350,13.309,1.561,65.179,6777.73486328125
38,-102.5828522,44.40671155,1.7,"6/15/2016"," ",20,852,0.375,0.07,1.843,153.041519165039
39,-98.65092145,44.65239046,9.53,"6/11/2014"," ",2,424,1.054,0.665,1.754,396.625335693359
41,-104.9233117,44.76121944,6.2,"4/18/2014"," ",37,1217,1.688,0.223,7.36,588.52294921875
42,-98.82063979,44.86618814,14.38,"9/26/2014","planetTest",2,423,0.165,0.099,0.285,399.253234863281
44,-102.3590011,45.43797411,2.06,"9/27/2016"," ",12,809,1.129,0.191,6.901,322.936248779297
45,-105.0851449,45.62569208,4.16,"7/2/2014"," ",22,926,0.588,0.084,2.657,509.456939697266
46,-102.5469901,45.84177901,15.89,"10/18/2014"," ",23,793,5.541,1.096,29.65,2946.49438476562
47,-102.0496131,46.13428142,6.38,"10/18/2014"," ",13,749,1.015,0.092,7.372,404.814025878906
50,-108.0065115,46.66565145,3.81,"3/18/2016"," ",16,940,0.44,0.099,2.134,924.553588867188
51,-104.5847985,47.03576433,12.67,"6/9/2016"," ",37,738,0.775,0.098,4.653,513.201477050781
52,-102.0629309,47.2807932,7.68,"5/2/2016"," ",21,606,3.152,0.57,20.506,1364.85363769531
53,-108.2072362,47.46935822,9.01,"9/5/2014"," ",34,811,0.227,0.034,1.267,770.560546875
55,-107.9801862,48.06241433,7.08,"7/8/2014"," ",13,780,0.273,0.067,1.309,722.186401367188
56,-107.9781505,48.28673599,1.08,"7/8/2014"," ",16,748,0.206,0.049,0.928,462.889312744141
57,-104.7496272,48.76235594,8.36,"8/28/2016"," ",25,688,2.511,1.728,5.101,3510.22729492188
58,-108.1333734,48.71204917,5.74,"7/8/2014"," ",25,861,0.368,0.177,1.173,1882.63195800781
60,-93.30447854,40.80792074,7.71,"10/2/2015"," ",14,322,1.966,0.592,5.485,190.535598754883
61,-93.59703373,40.46415749,24.21,"10/2/2015"," ",20,279,10.176,3.079,30.131,1102.2841796875
62,-95.88944522,41.27869652,221.19,"7/10/2019"," ",19,319,1183.122,472.597,2584.059,822964.3125
63,-91.63856316,38.40349297,2.59,"7/24/2018"," ",39,254,2.269,0.861,5.885,81.6751098632812
64,-92.3291698,38.1652612,13.61,"10/21/2016"," ",26,267,2.067,0.688,4.952,173.341293334961
65,-95.41386035,42.93997465,40.75,"7/25/2016"," ",14,417,22.541,13.906,40.115,4197.0458984375
66,-95.5915637,40.7812293,53.1,"8/15/2015"," ",18,311,29.396,8.664,77.358,4160.27978515625
67,-90.92326207,38.53494668,475.51,"7/24/2018"," ",25,178,2971.308,1651.522,4854.896,1340186.875
68,-91.87149993,38.23103917,107.8,"11/8/2019"," ",37,245,92.352,26.893,207.905,7975.205078125
69,-94.02947339,40.30721499,11.12,"10/11/2019"," ",19,298,2.84,0.882,8.026,372.796478271484
70,-91.58793147,38.90754121,33.98,"7/24/2018"," ",21,229,5.148,2.187,13.406,511.16064453125
72,-92.99646583,38.65293343,41.83,"3/2/2020"," ",20,240,9.974,3.857,20.654,1003.04437255859
73,-95.9732483,43.63483681,16.09,"8/14/2015"," ",8,464,1.951,1.394,2.905,285.016540527344
74,-96.12661012,42.81460174,12.93,"5/11/2017"," ",15,391,2.078,0.806,5.085,389.060729980469
75,-94.75593797,38.31888143,42.96,"3/2/2020"," ",16,258,61.011,31.672,110.044,7054.98486328125
76,-92.30905187,37.67731269,50.97,"10/21/2016"," ",32,322,24.346,6.293,53.339,1782.57641601562
77,-93.42096279,37.74553063,45.06,"11/26/2013"," ",22,319,12.479,3.93,24.064,77.263916015625
78,-93.27764164,38.77076167,21.29,"3/2/2020"," ",12,253,4.732,1.964,9.477,455.23486328125
79,-94.46179114,38.18797264,65.85,"8/22/2017"," ",9,249,77.391,39.63,137.91,8831.0859375
82,-93.32569291,39.80481558,7.13,"9/9/2012"," ",9,225,1.991,0.97,4.678,165.975723266602
83,-94.16331508,38.69695274,11.88,"2/20/2020"," ",8,259,5.974,3.096,11.015,339.226287841797
84,-94.82746371,38.38513568,10.94,"3/2/2020"," ",13,295,1.682,0.828,2.938,186.106887817383
85,-92.80788165,38.88213978,11.73,"3/2/2020"," ",15,228,3.533,1.432,7.825,87.6152725219727
86,-93.95169826,37.74212491,27.53,"11/27/2013"," ",14,279,6.124,2.316,10.304,515.988647460938
87,-93.93358262,39.32029783,10.39,"4/8/2014"," ",19,264,3.742,1.927,7.906,453.341674804688
88,-98.67259637,45.99843102,6.2,"6/3/2017"," ",5,497,0.146,0.098,0.229,235.610641479492
89,-95.55889565,39.99091442,8.09,"4/1/2016"," ",15,310,2.043,0.902,4.561,293.341186523438
90,-97.97455844,42.76863742,581.7,"8/21/2017"," ",20,417,1073.041,378.597,2481.219,711470.1875
91,-95.6397816,39.08718463,122.42,"4/3/2016"," ",12,298,242.677,96.433,655.288,146509.9375
92,-97.91118015,41.14592975,1.18,"4/21/2016"," ",4,514,109.139,37.17,284.201,156107.296875
93,-98.81315662,42.82755892,270.5,"8/21/2017"," ",10,598,0.706,0.375,1.354,28720.05859375
94,-97.8295045,43.58228769,50.37,"7/20/2015"," ",6,397,31.288,22.307,45.636,50795.01953125
95,-97.74742118,42.72177291,5.09,"3/13/2015"," ",21,510,0.963,0.54,1.997,96.4300689697266
96,-96.53183021,42.615246,65.35,"5/11/2017"," ",20,362,60.062,32.734,135.114,0.44239753484726
98,-98.27774859,44.70406152,72.83,"4/20/2014"," ",1,392,87.756,62.855,127.138,39272.36328125
99,-96.98555663,41.533226,3.56,"8/21/2017"," ",6,425,2.724,0.924,7.318,169.3515625
100,-97.8684296,42.06947724,77.14,"8/21/2017"," ",16,553,24.888,15.48,45.117,6572.1455078125
101,-97.47424727,41.44814069,174.45,"9/2/2020"," ",5,458,69.008,28.961,147.684,37938.62890625
102,-97.52678689,41.36122585,56.65,"9/2/2020"," ",2,450,121.335,41.333,311.962,158111.421875
103,-98.4703811,41.1680463,70.58,"9/3/2020"," ",6,560,33.148,13.301,72.026,19557.125
104,-100.9359627,46.37651744,36.25,"5/4/2016"," ",22,569,24.398,3.066,170.471,10586.4931640625
105,-93.59461554,40.61768605,13.86,"10/2/2015"," ",20,285,3.581,1.097,10.345,449.051452636719
106,-93.92930116,40.80696729,22.83,"5/11/2015"," ",20,335,8.4,2.102,24.566,1150.75952148438
107,-94.11331622,41.06436362,11.53,"5/11/2015"," ",19,358,3.074,0.831,8.388,435.798156738281
108,-95.08385874,41.88523486,8.59,"3/8/2015"," ",22,416,2.201,0.62,5.545,149.498245239258
109,-95.87878644,42.35888862,66.13,"5/4/2016"," ",27,378,37.297,18.761,77.573,6685.18505859375
110,-96.0353224,42.94819602,19.84,"5/11/2017"," ",13,400,4.282,1.774,10.408,712.649536132812
111,-96.14387601,43.40237905,48.3,"5/29/2015"," ",11,419,11.764,5.742,28.82,2218.61279296875
112,-98.64749934,45.82140294,6.71,"6/3/2017"," ",5,441,0.345,0.237,0.522,633.021423339844
113,-98.47833685,46.5016509,7.25,"6/4/2017"," ",5,445,0.549,0.39,0.75,776.89794921875
114,-98.7829948,47.49187684,147.85,"7/15/2017"," ",8,459,4.53,3.313,5.45,3235.50317382812
115,-100.9543658,47.23681852,11.77,"9/21/2021"," ",16,567,3.334,2.171,7.456,2034.42602539062
116,-100.4074025,46.80829654,2.39,"9/21/2021"," ",6,542,9.071,6.152,15.237,6625.6689453125
117,-99.86226871,45.8680926,11.25,"5/6/2016"," ",10,557,1.622,1.056,2.771,853.440490722656
118,-100.1032248,46.54476555,2.71,"6/3/2017"," ",9,597,1.345,0.93,2.08,766.76708984375
119,-101.7854131,44.58200624,10.13,"9/14/2014"," ",25,681,0.378,0.083,1.89,137.545837402344
121,-98.79600002,44.59417379,9.31,"6/11/2014"," ",2,424,1.054,0.665,1.754,87.7148742675781
122,-101.590394,46.84065865,6.23,"5/2/2016"," ",15,667,0.432,0.107,2.717,177.320388793945
123,-92.8780655,38.79297847,9.05,"3/2/2020"," ",15,246,1.865,0.752,4.104,69.1153411865234
124,-95.14804181,38.92807693,13.75,"3/31/2019"," ",10,273,10.625,5.644,19.908,1271.04504394531
125,-94.24471299,39.28234274,21.5,"4/10/2021"," ",18,282,4.652,2.417,9.572,569.845336914062
126,-95.11333803,39.3271514,11.75,"4/3/2016"," ",22,316,4.63,2.267,9.062,616.188354492188
127,-94.67304578,39.50165916,36.57,"5/15/2019"," ",16,277,39.913,13.9,100.486,5184.36181640625
128,-93.68568602,39.7686394,68.87,"10/11/2019"," ",15,244,50.48,16.498,136.094,6767.21826171875
130,-101.8841795,46.34662275,21.46,"10/18/2014"," ",15,716,7.407,0.54,54.328,3112.27856445312
131,-101.3153328,46.46054964,2.14,"6/22/2016"," ",21,625,0.73,0.149,4.848,227.750076293945
132,-101.3043682,45.65450534,6.08,"6/22/2016"," ",17,641,1.187,0.241,7.146,503.104827880859
134,-103.1359609,47.05950215,12.21,"9/7/2014"," ",10,814,0.215,0.017,1.456,125.532981872559
135,-92.35336547,37.40166257,30.39,"10/21/2016"," ",34,389,4.112,1.118,9.211,267.303192138672
136,-93.28623151,37.74879298,12.72,"4/29/2021"," ",17,320,3.865,1.218,7.715,326.842346191406
137,-92.27563946,37.86836834,35.4,"5/21/2012"," ",35,300,46.929,12.137,101.344,3527.05200195312
138,-93.83055924,37.99803568,64.83,"11/27/2013"," ",20,251,151.08,72.905,257.699,15928.279296875
139,-94.40974569,38.17092069,14.13,"12/30/2017"," ",9,249,77.391,39.63,137.91,8880.802734375
141,-92.12237573,38.52869523,51.07,"11/8/2019"," ",31,209,17.051,6.271,40.018,1484.02844238281
142,-91.83882075,38.70248148,52.49,"8/3/2018"," ",31,214,8.736,3.67,22.428,806.25048828125
143,-101.7549063,44.82977275,5.19,"9/14/2014"," ",24,689,0.64,0.137,3.391,193.68830871582
144,-101.2338661,45.18202621,29.29,"9/14/2014"," ",26,575,13.326,2.393,72.847,11007.359375
145,-101.1428686,43.83220417,28.82,"9/9/2016"," ",25,680,17.303,4.022,63.872,15106.265625
146,-103.5980444,48.36475278,33.93,"7/21/2020"," ",4,581,0.472,0.223,1.859,1615.38842773438
147,-102.5902209,47.61665002,0.8,"9/28/2016"," ",31,669,0.214,0.07,1.172,81.1470108032227
148,-103.203885,44.59391273,18.26,"9/30/2016"," ",14,853,31.413,6.152,127.816,14913.08984375
149,-103.2991505,47.57765429,32.35,"5/30/2017"," ",59,680,13.149,1.304,84.138,21465.92578125
150,-103.783798,47.79721497,5.5,"5/29/2017"," ",22,690,0.191,0.038,1.166,142.794906616211
151,-102.8278069,47.24514751,5.32,"5/30/2017"," ",21,697,1.185,0.088,9.426,489.090972900391
152,-103.9659704,47.17668647,4.73,"5/29/2017"," ",31,770,2.152,0.233,13.65,1569.08447265625
153,-99.19922966,41.47749988,51.3,"9/4/2020","braided",17,707,16.96,6.801,39.592,11903.759765625
154,-103.0742353,46.60751595,2.92,"9/25/2014"," ",11,837,0.441,0.051,2.925,169.246612548828
155,-103.5590185,46.6285134,33.36,"5/29/2017"," ",31,817,23.837,2.672,132.468,13430.9833984375
156,-99.27805548,42.79319473,134,"4/11/2016","braided",13,604,18.168,7.597,47.209,23221.2109375
157,-104.0708684,47.67683623,5.15,"5/29/2017"," ",33,666,0.483,0.077,2.997,628.366455078125
158,-103.3499034,45.57154798,4.25,"5/13/2013"," ",12,880,0.604,0.101,3.292,316.189849853516
160,-100.7763914,42.78772964,78.78,"9/25/2016","anabranching",18,863,5.853,2.188,16.322,15360.2275390625
161,-102.7339571,44.86694217,5.34,"9/30/2016"," ",16,807,1.915,0.376,9.492,828.382080078125
162,-101.9766495,43.69677399,45.21,"6/15/2016"," ",18,774,11.679,2.62,41.827,10582.28125
164,-101.2745309,41.12018396,31.49,"9/3/2014","braided",13,945,55.167,18.305,138.031,61393.5859375
165,-104.1187089,44.48473535,1.12,"8/4/2016"," ",81,1398,0.861,0.112,4.299,694.594360351562
166,-99.32096816,40.68125011,159.29,"9/4/2020","braided",6,696,106.639,32.218,293.993,151814.453125
167,-99.06354926,41.37127696,140.42,"5/16/2013"," ",17,680,17.97,7.008,41.631,66.5637817382812
168,-99.66937081,41.66406078,5.2,"8/27/2017"," ",13,773,15.232,5.614,37.812,9928.1357421875
169,-104.2963679,45.18829417,11.74,"8/4/2016"," ",13,1048,7.474,1.046,30.953,3325.76416015625
170,-101.0144452,42.79168596,29.38,"5/10/2013"," ",20,903,4.377,1.532,12.899,12989.5595703125
171,-101.0548197,41.15577894,28.89,"7/21/2014"," ",6,910,55.517,18.384,138.379,61894.02734375
172,-99.90571864,40.80223633,5.64,"4/19/2017","multi",5,757,101.812,28.884,286.072,148743.484375
174,-102.2048066,43.4381763,5.05,"4/7/2012"," ",27,968,0.314,0.081,1.135,239.212585449219
175,-98.88088577,40.67444357,221.07,"9/26/2015"," ",1,640,110.309,34.45,299.477,152194.4375
176,-99.01194581,38.8040493,16.07,"4/24/2016"," ",8,575,1.723,0.37,10.886,2037.98498535156
177,-102.6996265,43.79659442,20.91,"6/15/2016"," ",27,844,28.857,4.347,117.58,27850.134765625
179,-103.371764,43.375251,23.03,"10/15/2013"," ",35,1026,34.412,5.155,156.545,24001.51171875
180,-100.3949663,38.83954804,11.25,"2/19/2016"," ",8,789,0.18,0.035,1.18,95.0745162963867
183,-102.8747894,44.49760301,8.61,"5/4/2017"," ",20,796,2.622,0.512,12.574,893.772521972656
185,-102.38385,43.57003465,12.58,"7/16/2013"," ",25,841,8.993,2.05,30.978,8394.5625
186,-104.6441589,42.24570606,94.88,"4/23/2014"," ",38,1420,85.596,14.344,406.085,41732.203125
187,-102.6635747,40.88124157,9.41,"9/4/2020","braided",11,1156,40.103,13.66,102.46,216.717727661133
188,-103.0627915,40.74108647,64.011,"10/15/2015","braided",13,1229,39.601,13.516,101.93,48464.31640625
190,-100.6941351,42.6243353,2.43,"9/25/2016"," ",13,877,0.729,0.359,1.632,1262.38818359375
191,-101.6179018,43.18067451,4,"9/24/2016"," ",14,961,0.692,0.244,2.098,873.421447753906
192,-102.4451867,39.75978678,1.83,"9/24/2011"," ",12,1228,0.089,0,0.36,2798.27905273438
193,-103.8550921,43.32508789,6.85,"6/29/2014"," ",32,1144,28.213,3.893,137.327,18534.79296875
194,-98.19584037,40.94105666,321.81,"4/21/2016"," ",4,563,119.659,40.022,314.644,153929.15625
195,-96.27578687,38.99561326,15.31,"4/13/2019"," ",27,406,1.776,0.875,3.502,266.327392578125
196,-97.98394113,39.99968081,22.08,"4/17/2014"," ",11,497,33.426,11.725,102.119,57846.98828125
197,-96.61528562,41.20007955,9.77,"6/12/2021"," ",14,380,2.244,0.796,6.651,398.368133544922
198,-97.29361564,41.3861526,3.15,"9/27/2011"," ",5,454,192.951,71.382,464.648,403.448822021484
199,-97.10127618,41.50183632,12.75,"8/21/2017"," ",12,449,6.242,2.214,15.954,1213.2255859375
200,-96.81282936,41.75911933,2.57,"5/4/2016"," ",14,437,1.272,0.473,3.27,207.274337768555
201,-98.45002606,42.7686346,194.56,"8/21/2017"," ",19,487,32.92,12.521,82.002,29945.755859375
202,-97.42626117,43.06786421,40.51,"3/13/2015"," ",11,396,37.36,26.381,55.322,54728.078125
203,-96.87495718,43.60089976,13.27,"5/3/2021"," ",11,459,5.177,3.599,8.498,1277.01062011719
204,-98.02999913,43.94220499,46.88,"7/20/2015"," ",4,389,105.966,75.444,155.035,46297.3515625
205,-96.91871038,44.5569527,15.64,"10/9/2014"," ",8,539,19.286,14.235,25.494,5621.86962890625
206,-97.01166313,44.69585559,13.59,"10/13/2014"," ",6,523,11.975,8.946,15.182,2786.71533203125
207,-98.41245627,45.13423921,28.67,"9/26/2014"," ",2,390,58.747,43.298,81.075,25277.375
208,-98.30511094,45.60362668,22.13,"9/26/2014"," ",1,394,40.525,29.785,55.126,18381.310546875
209,-96.45996386,41.38152063,506.69,"6/12/2021","braided",8,372,207.382,76.915,493.839,199350.90625
210,-97.17663399,38.71499435,12.4,"4/8/2014"," ",9,397,1.26,0.608,2.951,183.849990844727
211,-97.61431988,38.58442047,5.44,"4/8/2014"," ",9,429,16.361,5.315,81.013,30.8710594177246
213,-97.95684904,39.77626857,3.51,"9/22/2019"," ",12,470,0.662,0.258,1.886,45.0993499755859
214,-106.2027209,48.91579412,51.01,"7/29/2011"," ",17,885,0.776,0.062,2.393,784.791198730469
215,-96.57740658,39.61145804,54.14,"10/19/2014"," ",16,384,99.417,41.265,264.032,22001.78515625
216,-96.86873232,38.93299496,20.96,"6/27/2019"," ",17,379,3.582,1.705,8.023,682.214416503906
217,-97.41604004,39.58598937,29.16,"9/21/2012","braided",6,407,44.77,15.779,128.733,61828.59375
218,-105.3466815,46.57156745,44.91,"6/23/2016"," ",37,789,39.629,4.611,178.364,34292.71484375
219,-97.29220305,38.78808644,5.73,"4/8/2014"," ",10,397,0.901,0.426,2.207,153.09440612793
220,-97.82228824,38.9785468,23.04,"6/28/2019"," ",10,405,11.798,3.626,50.351,7419.05908203125
221,-99.05600436,39.80750394,4.08,"3/13/2014"," ",13,592,0.392,0.127,1.457,112.303344726562
222,-104.8787343,48.01554808,7.88,"8/18/2013"," ",24,665,0.378,0.138,1.386,224.173751831055
223,-107.9193495,47.04996673,30.47,"3/18/2016"," ",40,824,9.892,2.236,46.739,20547.80078125
224,-105.9882177,48.02386776,340.14,"8/7/2016"," ",13,639,326.451,111.773,643.827,208933.828125
225,-106.3875037,48.21837997,16.57,"7/29/2011"," ",17,704,2.328,0.504,4.44,1785.40112304688
226,-106.4048398,45.45016384,24.88,"6/15/2013"," ",62,1072,10.516,0.919,55.305,7008.08447265625
227,-99.99434139,44.13040396,3.31,"8/20/2012"," ",25,525,0.683,0.305,2.329,270.562683105469
228,-101.4963896,44.13895695,7,"8/16/2013"," ",16,713,0.303,0.069,1.418,111.031089782715
229,-100.0150596,44.4039495,21.79,"8/10/2014"," ",17,519,4.97,2.426,14.055,2022.67907714844
230,-101.9549566,44.38562208,4.28,"6/15/2016"," ",23,759,0.379,0.076,1.829,120.354637145996
231,-101.6081655,44.574117,70.71,"9/14/2014"," ",26,635,44.555,7.87,201.561,56033.5546875
232,-100.1942087,45.32260795,4.02,"8/11/2014"," ",18,555,3.207,1.635,8.811,1546.75451660156
233,-101.6730628,45.21907003,21.58,"9/14/2014"," ",21,681,17.572,2.844,98.932,9111.619140625
235,-101.273227,46.11424522,6.24,"6/22/2016"," ",17,654,0.454,0.109,2.807,179.003723144531
236,-100.7139555,46.38347072,22.54,"5/4/2016"," ",19,534,24.729,3.245,171.51,10845.791015625
237,-101.9886569,46.62040461,42.56,"5/2/2016"," ",17,703,10.985,0.802,72.451,4199.45849609375
238,-100.9136066,47.25802354,8.22,"9/21/2021"," ",16,567,3.334,2.171,7.456,2017.41357421875
239,-106.3280388,46.2865713,174.12,"5/22/2014"," ",16,780,385.646,120.215,972.11,106703.0625
240,-106.3713032,44.63948266,21.39,"4/30/2014"," ",52,1293,2.364,0.266,9.958,2181.11450195312
241,-105.3186446,45.23894437,6.55,"4/18/2014"," ",33,1046,7.745,0.917,37.83,4374.033203125
242,-106.2325302,47.46726399,1.73,"4/15/2015"," ",25,764,1.461,0.293,6.336,824.893737792969
243,-105.2859052,44.0490372,1.77,"7/26/2014"," ",27,1417,2.544,0.237,15.11,1625.43334960938
244,-105.3432341,44.56726308,2.66,"4/18/2014"," ",35,1252,1.438,0.166,7.628,687.067077636719
245,-106.8195053,47.32380265,6.04,"4/15/2015"," ",18,809,1.899,0.084,10.785,1549.67309570312
246,-107.5566815,48.03697538,1.22,"7/3/2014"," ",13,751,1.221,0.231,5.699,40.721996307373
247,-106.894687,48.37297445,19.05,"7/2/2014"," ",16,752,0.148,0.034,0.541,119.478782653809
249,-106.2937422,45.65000873,45.5,"6/6/2016"," ",45,1012,13.974,1.273,70.616,9456.337890625
250,-106.6069438,46.38948699,3.48,"5/17/2015"," ",23,833,1.364,0.191,6.756,1442.40295410156
